"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_SKU";"SPICEPREFIX";"VALUE";
"L6";"SRR1280-330mH";"SRR1280";"SRR1280";"POWER INDUCTOR";"";"";"";"";"";"";"";"";
"LED1";"GREEN";"LED0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"LED2";"YELLOW";"LED0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"LED3";"BLUE";"LED0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"LED4";"RED";"LED0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"LED5";"RED";"LED0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"MC1_MOTORA";"";"CONN_025MM";"SCREWTERMINAL-5MM-2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"PRT-08432";"";"";
"MC1_MOTORB";"";"CONN_025MM";"SCREWTERMINAL-5MM-2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"PRT-08432";"";"";
"MC2_MOTORA";"";"CONN_025MM";"SCREWTERMINAL-5MM-2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"PRT-08432";"";"";
"MC2_MOTORB";"";"CONN_025MM";"SCREWTERMINAL-5MM-2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"PRT-08432";"";"";
"MC3_MOTORA";"";"CONN_025MM";"SCREWTERMINAL-5MM-2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"PRT-08432";"";"";
"MC3_MOTORB";"";"CONN_025MM";"SCREWTERMINAL-5MM-2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"PRT-08432";"";"";
"NRF8001";"";"CONN_10"";"1X10";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-11563";"";"";"";
"PWMS1_GND";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"PWMS1_SIG";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"PWMS1_SUP";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"PWMS2_GND";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"PWMS2_SIG";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"PWMS2_SUP";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"PWMS3_GND";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"PWMS3_SIG";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"PWMS3_SUP";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"PWMS4_GND";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"PWMS4_SIG";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"PWMS4_SUP";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
